Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Duration_missing
Chhota Bheem Mission Mangalyaan,2015,,Animation,5.8,11.0,Binayak Das,,,,True
Chhota Chetan,1998,103.0,"Adventure, Comedy, Family",5.7,155.0,Jijo Punnoose,Urmila Matondkar,Dalip Tahil,Satish Kaushik,False
Chhota Parivar,1968,,Drama,,,,,,,True
Chhota Sa Ghar,1996,141.0,Drama,3.7,11.0,Kalpataru,Asrani,Neelima Azim,Beena Banerjee,False
Chhote Babu,1957,,"Drama, Family",,,Harsukh Jagneshwar Bhatt,Shekhar,Nimmi,Kanhaiyalal Chaturvedi,True
Chhote Nawab,1961,140.0,"Comedy, Drama, Romance",5.5,24.0,S.A. Akbar,Ameeta,Mehmood,Johnny Walker,False
Chhote Nawab Bade Nawab,1998,,Comedy,,,Dilip Gulati,Ajitabh,Raja Babu,Anil Nagrath,True
Chhote Sarkar,1938,,,,,Homi Master,Leela Chitnis,,,True
Chhote Sarkar,1974,,"Crime, Drama",5.9,17.0,K. Shankar,Shammi Kapoor,Sadhana,Shashikala,True
Chhote Sarkar,1996,151.0,"Comedy, Romance, Thriller",4.7,239.0,Vimal Kumar,Govinda,Shilpa Shetty Kundra,Aruna Irani,False
Chhoti Bahen,1959,155.0,Drama,6.6,35.0,L.V. Prasad,Balraj Sahni,Shyama,Rehman,False
Chhoti Bahoo,1994,,"Drama, Family",5.7,22.0,M.M. Baig,Vikas Anand,Beena Banerjee,Bindu,True
Chhoti Bahu,1971,137.0,"Drama, Family",6.1,67.0,K.B. Tilak,Rajesh Khanna,Sharmila Tagore,Nirupa Roy,False
Chhoti Behan,1977,,Drama,,,Girija,Girija Mitra,Anjana Mumtaz,Dilip Patel,True
Chhoti Bhabbi,1950,,,,,Shanti Kumar,Karan Dewan,Kuldip Kaur,Nargis,True
Chhoti Chhoti Baatein,1965,,Drama,7.1,17.0,Motilal,Motilal,Leela Mishra,Moti Sagar,True
Chhoti Maa,1952,,,,,Hemchandra Chunder,Asitbaran,Molina Devi,Manorama,True
Chhoti Maa,1943,,,,,Chaturbhuj Doshi,Arun,Khurshid Begum,,True
Chhoti Si Baat,1976,123.0,"Comedy, Romance",8.3,3868.0,Basu Chatterjee,Ashok Kumar,Vidya Sinha,Amol Palekar,False
Chhoti Si Bhool,2001,,Thriller,,,,,,,True
Chhoti Si Mulaqaat,2004,,Romance,,,,,,,True
Chhoti Si Mulaqat,1967,175.0,"Drama, Romance",6.7,39.0,Alo Sarkar,Vyjayanthimala,Uttam Kumar,Rajendranath Malhotra,False
Chhotisi Duniya,1939,,,,,B.S. Rajhans,Leela Chitnis,P. Jairaj,,True
Chhupa Chhuppi,1981,,Comedy,,,Arun Jaitly,Master Bhagwan,Helen,Aruna Irani,True
Chhupa Rustam,1973,,"Action, Thriller",7.0,82.0,Vijay Anand,Dev Anand,Vijay Anand,Ajit,True
Chhupa Rustam,1965,,Action,,,Indira Bansal,Chitra,Habib,Azaad Irani,True
Chhupa Rustam: A Musical Thriller,2001,127.0,"Drama, Musical, Romance",4.6,86.0,Aziz Sejawal,Sanjay Kapoor,Mamta Kulkarni,Manisha Koirala,False
Chhupam Chhaai,2016,94.0,"Adventure, Drama, Family",8.4,79.0,Pratik Mittal,Akshat Jain,Sanket Chauhan,Anshu Khatri,False
Chicken Curry Law,2019,127.0,Drama,5.3,30.0,Shekhar Sirrinn,Natalia Janoszek,Ashutosh Rana,Makrand Deshpande,False
Chicken Tikka Masala,2005,90.0,"Comedy, Drama, Romance",5.6,524.0,Harmage Singh Kalirai,Chris Bisson,Saeed Jaffrey,Sally Bankes,False
Chidi Balla,2018,112.0,"Comedy, Drama, Family",6.4,12.0,Radheshyam Pipalwa,Chetan Sharma,Mayur More,Abhimanyu Singh,False
Chidiakhana,2019,115.0,Drama,,,Manish Tiwary,Ritvik Sahore,Avneet Kaur,Rajeshwari Sachdev,False
Chidiya,2016,110.0,Drama,7.2,15.0,Mehran Amrohi,Svar Kamble,Ayush Pathak,Vinay Pathak,False
Chief Minister,1993,,Action,,,G.Sekaran Kalaipuli,Bhanuchander,King Kong,Radhika Sarathkumar,True
Chikni,2002,,Thriller,,,,,,,True
Children of Bal Ashram,2019,64.0,Documentary,,,Leonard Morris,,,,False
Children of the Pyre,2008,74.0,Documentary,7.4,80.0,Rajesh S. Jala,,,,False
Children of War,2014,160.0,"Drama, History, War",6.7,879.0,Mrityunjay Devvrat,Farooq Shaikh,Victor Banerjee,Pawan Malhotra,False
Children's Party,2011,135.0,"Comedy, Drama, Family",7.5,7296.0,Vikas Bahl,Nitesh Tiwari,Irfan Khan,Sanath Menon,False
Chilika Bank$,2008,58.0,Documentary,,,Akanksha Joshi,,,,False
Chimanee Pakhre,2000,,Drama,7.4,15.0,Mahesh Kothare,Anand Abhyankar,Laxmikant Berde,Priya Arun Berde,True
Chimni Ka Dhuan,1973,,Action,,,Prabhat Mukherjee,Sabita Chatterjee,Dhumal,Helen,True
China Gate,1998,175.0,"Action, Adventure, Drama",6.6,1430.0,Rajkumar Santoshi,Om Puri,Naseeruddin Shah,Danny Denzongpa,False
China Town,1962,151.0,"Comedy, Crime, Romance",7.1,201.0,Shakti Samanta,Shammi Kapoor,Shakila,Helen,False
Chinar Daastaan-E-Ishq,2015,116.0,Romance,6.8,62.0,Sharique Minhaj,Parveen Kaur,Faisal Khan,Shahbaaz Khan,False
Chingaari,2006,155.0,Drama,4.6,189.0,Kalpana Lajmi,Sushmita Sen,Mithun Chakraborty,Anuj Sawhney,False
Chingari,1940,,,,,Sarvottam Badami,Eddie Billimoria,Keshavrao Date,Sabita Devi,True
Chingari,1971,,Drama,4.6,9.0,Ram Maheshwari,Leena Chandavarkar,Sanjay Khan,Pran,True
Chingari,1955,,Action,,,Nalini Jaywant,Leela Mishra,Pran,Shekhar,True
Chingari Aur Sholay,1993,,Action,,,C.L. Bansal,Phoolan Devi,Jainendra,Amjad Khan,True
Chingariyan,1990,,Action,,,Danny Denzongpa,,,,True
Chini Jadugar,1959,,,,,Noshir Engineer,Ajit,Habib,Kamran,True
Chinnodu,2006,150.0,"Action, Crime, Drama",4.0,51.0,Kanmani,Sumanth,Charmy Kaur,Rahul Dev,False
Chintamani,1931,,,,,Kanjibhai Rathod,Kashinath,Master Mohammed,Shantakumari,True
Chintamani Surdas,1988,132.0,"Biography, History",,,Ram Pahwa,Raja Bundela,Alka Noopur,Gouri Khurana,False
Chintu Ji,2009,115.0,"Comedy, Drama",6.0,191.0,Ranjit Kapoor,Rishi Kapoor,Priyanshu Chatterjee,Kulraj Randhawa,False
Chintu Ka Birthday,2020,80.0,"Drama, War",7.8,4063.0,Devanshu Singh,Satyanshu Singh,Vinay Pathak,Tillotama Shome,False
Chintu Skool,2010,92.0,"Animation, Drama, Fantasy",,,Sheshagiri Yelameli,,,,False
Chipku,2016,135.0,Drama,6.8,5.0,Priyanka,Gouri Ash,Rakesh Bedi,Neha Pal Chowdhury,False
Chippa,2019,90.0,Drama,6.5,941.0,Safdar Rahman,Sunny Pawar,Mala Mukherjee,Surojit,False
Chirag,1969,,"Drama, Family, Musical",6.7,48.0,Raj Khosla,Sunil Dutt,Asha Parekh,Om Prakash,True
Chirag,1943,,,4.0,6.0,Ram Daryani,Ishwarlal,,,True
Chirag Kahan Roshni Kahan,1959,,"Drama, Family",7.2,38.0,Devendra Goel,Rajendra Kumar,Meena Kumari,Mumtaz Begum,True
Chirag-E-Chin,1955,,,,,G.P. Pawar,C.M. Trivedi,Bipin Gupta,Kanta Kumari,True
Chiranjeevi,1991,,Action,,,Ravi Raja Pinisetty,Raviraja Pinisetty,Chiranjeevi,Radha,True
Chiranjeevi Fans,2005,,Drama,,,Nagendra Babu,Kota Srinivasan,Vijay Akula Verdhan,,True
Chirkut Chandan Ki Anokhi Prem Kahani,2018,90.0,Romance,,,Rahul Deo Verma,Mradula Chauhan,Sadhna Chauhan,Harsh Dwivedi,False
Chirutha,1981,,Drama,8.0,6.0,Tanvir Ahmed,Deepti Naval,Inayatullah Kantroo,Sulabha Deshpande,True
Chitchor,1976,105.0,"Drama, Romance",7.5,618.0,Basu Chatterjee,Amol Palekar,Zarina Wahab,Vijayendra Ghatge,False
Chitkabrey,2011,120.0,"Drama, Mystery, Thriller",3.9,134.0,Suneet Arora,Ravi Kishan,Rahul Singh,Sanjay Swaraj,False
Chitrakut,2018,,Drama,,,Himanshu Malik,Auritra Ghosh,Vibhore Mayank,Naina Trivedi,True
Chitralekha,1964,,"Comedy, Drama",7.4,80.0,Kidar Nath Sharma,Ashok Kumar,Meena Kumari,Pradeep Kumar,True
Chitralekha,1941,156.0,"Drama, History, Musical",,,Kidar Nath Sharma,Miss Mehtab,Nandrekar,A.S. Gyani,False
Chitrangada,1954,,Drama,,,Hemchandra Chunder,Souren Sen,Utpal Dutt,Jiban Ganguly,True
Chittagong,2012,105.0,"Action, Drama, War",7.3,1558.0,Bedabrata Pain,Manoj Bajpayee,Barry John,Delzad Hiwale,False
Chittor Vijay,1947,,,7.7,19.0,Mohan Sinha,Monica Desai,Gulnar,Raj Kapoor,True
Chocolate: Deep Dark Secrets,2005,160.0,"Crime, Drama, Mystery",4.8,1906.0,Vivek Agnihotri,Anil Kapoor,Sunil Shetty,Arshad Warsi,False
Choked,2020,114.0,Drama,5.8,4826.0,Anurag Kashyap,Saiyami Kher,Roshan Mathew,Amruta Subhash,False
Choli Ke Peechhe,2003,,Thriller,,,,,,,True
Chom Aur Sa,1982,,Drama,,,,,,,True
Choo Lenge Akash,2000,85.0,Family,7.4,7.0,Virendra Saini,Puru Chibber,Pankaj Jha,Parikshit Sahni,False
Chooda Ek Pratha,2015,,Drama,6.4,8.0,Ravindra Singh Rajawat,Ravi Jhanghu,Meghna Naidu,Chandrachur Singh,True
Chooriyan,1993,,,,,Sai Paranjape,,,,True
Chopsticks,2019,100.0,"Comedy, Drama",6.5,4293.0,Sachin Yardi,Abhay Deol,Mithila Palkar,Vijay Raaz,False
Chor,1950,,,,,Anand Prasad Kapoor,Cuckoo,,,True
Chor Aur Chand,1993,137.0,"Action, Adventure, Drama",6.9,53.0,Pavan Kaul,Aditya Pancholi,Pooja Bhatt,Aruna Irani,False
Chor Bazaari,2015,107.0,Comedy,4.7,22.0,Rajiv S. Ruia,Asrani,Kurush Deboo,Manoj Joshi,False
Chor Bazar,1954,127.0,"Action, Drama",6.1,24.0,Prem Narayan Arora,Shammi Kapoor,Sumitra Devi,Chitra,False
Chor Chor,1974,,"Crime, Drama, Thriller",6.7,23.0,Prem Prakash,Vijay Anand,Leena Chandavarkar,Trilok Kapoor,True
Chor Chor Chhupja,1975,,"Drama, Family",,,B.V. Karanth,Om Puri,,,True
Chor Chor Super Chor,2013,99.0,"Comedy, Drama, Thriller",6.5,225.0,Rajesh. K.,Deepak Dobriyal,Priya Bathija,Anshul Kataria,False
Chor Darwaza,1965,,Action,,,Pradeep Nayyar,Master Bhagwan,Rajan Haksar,Helen,True
Chor Ho To Aisa,1978,,"Action, Crime, Drama",5.1,8.0,Ravi Tandon,Shatrughan Sinha,Reena Roy,Bindu,True
Chor Ke Ghar Chor,1978,,"Action, Comedy, Crime",6.4,34.0,Vijay Sadanah,Randhir Kapoor,Zeenat Aman,Ashok Kumar,True
Chor Machaaye Shor,2002,145.0,"Action, Comedy, Crime",4.2,1124.0,David Dhawan,Bobby Deol,Om Puri,Paresh Rawal,False
Chor Machaye Shor,1974,139.0,"Action, Musical, Romance",6.5,146.0,Ashok Roy,Shashi Kapoor,Mumtaz,Asrani,False
Chor Nikal Ke Bhaaga,2018,,Crime,,,,,,,True
Chor Pe Mor,1990,142.0,"Comedy, Crime",4.5,14.0,Kapil Kapoor,Naseeruddin Shah,Karan Shah,Neelam Kothari,False
Chor Police,1983,,"Crime, Action, Drama",5.6,29.0,Amjad Khan,Shatrughan Sinha,Parveen Babi,Shakti Kapoor,True
Chor Sipahee,1977,138.0,"Action, Crime, Drama",5.8,44.0,Prayag Raj,Shashi Kapoor,Vinod Khanna,Parveen Babi,False
Chora-Chori,1954,,,,,Kidar Nath Sharma,Agha,Geeta Bali,Pratima Devi,True
Chori Chori,1956,158.0,"Comedy, Musical, Romance",7.7,475.0,Anant Thakur,Nargis,Raj Kapoor,Gope,False
Chori Chori,2003,135.0,"Comedy, Romance, Musical",4.8,837.0,Milan Luthria,Ajay Devgn,Sonali Bendre,Rani Mukerji,False
Chori Chori,1972,115.0,"Action, Drama",5.0,5.0,Keval P. Kashyap,Sanjay Khan,Radha Saluja,Kamran,False
Chori Chori Chupke Chupke,2001,160.0,"Comedy, Drama, Musical",5.4,4464.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Salman Khan,Rani Mukerji,False
Chori Mera Kaam,1975,165.0,"Comedy, Musical, Romance",7.0,136.0,Brij,Ashok Kumar,Shashi Kapoor,Zeenat Aman,False
Chorni,1982,149.0,"Comedy, Drama",5.3,39.0,Jyoti Swaroop,Jeetendra,Neetu Singh,Shreeram Lagoo,False
Choron Ka Chor,1970,,,,,Mohammed Hussain,Dara Singh,Shabnam,Madan Puri,True
Choron Ka Chor,2002,,Action,6.3,20.0,Jayant Paranji,Mahesh Babu,Bipasha Basu,Rahul Dev,True
Choron Ki Baaraat,1980,135.0,Action,7.1,16.0,Harmesh Malhotra,Shatrughan Sinha,Neetu Singh,Ajit,False
Choron Ki Baraat,2015,,Comedy,,,Mandeep Chaahal,Asrani,Arya Babbar,Sayali Bhagat,True
Choron Ki Barat,1960,,Action,,,Amarnath,Shakeela Bano Bhopali,Rajan Haksar,Ram Mohan,True
Choron Ki Rani Hasino Ka Raja,1990,,Action,,,V. Menon,Rakesh Bedi,Sunil Dhawan,Sonika Gill,True
Chorus,1975,124.0,"Fantasy, Drama",7.4,84.0,Mrinal Sen,Utpal Dutt,Ajit Banerjee,Shekhar Chatterjee,False
"Chot [Aaj Isko, Kal Tereko]",2004,,"Musical, Action, Crime",5.0,29.0,Nabh Kumar 'Raju',Ashutosh Rana,Sharad S. Kapoor,Nethra Raghuraman,True
Chota Jadugar,2003,99.0,Fantasy,3.1,102.0,Jose Punnoose,Sooraj Balaji,S.P. Balasubrahmanyam,Julian Carey,False
Chota Sipahi,2004,90.0,Family,7.1,10.0,Jayashree Kanal,,,,False
Chote Nawab,2020,108.0,Drama,6.1,7.0,Kumud Chaudhary,Tulika Banerjee,Plabita Borthakur,Rajshri Deshpande,False
Choti Si Mohabbat,2004,,Thriller,,,,,,,True
Chotu Ka Badla,1990,,Comedy,,,Sudhir Dalvi,Dilip Dhawan,Arun Govil,Jamuna,True
Chousar Firangi,2019,95.0,"Comedy, Drama",6.8,85.0,Sandeep Pandey,Prateek Pachauri,Rekha Mishra,Anudeep Singh,False
Chowki No.11,1978,,"Action, Crime, Drama",,,C.K. Sobti,Vijay Bahel,Dimpi Chauhan,Vishal Desai,True
Chowkidaar,2019,93.0,Family,,,Dinesh Chaudhary,Vikas Balian,Uttar Kumar,Vanshika Sharma,False
Chowkidar,1974,135.0,Drama,5.3,22.0,Shyam Ralhan,Sanjeev Kumar,Yogeeta Bali,Vinod Khanna,False
Chronicle of Space,2020,85.0,Family,5.8,19.0,Akshay Indikar,Neel Deshmukh,Anushree Wani,,False
Chronicles of a Temple Painter,2014,50.0,"Documentary, Drama",,,Shravan Katikaneni,,,,False
Chronicles of Hari,2016,120.0,Drama,5.9,22.0,Ananya Kasarvalli,Shrunga B.V.,Krishnamurthy,,False
Chubhan,1994,,Drama,,,Raj Deep,Adil Amaan,Rajni Bala,Raj Deep,True
Chudail,1997,98.0,Horror,4.9,10.0,P. Chandrakumar,Kiran Kumar,Poonam Dasgupta,Anil Dhawan,False
Chudail Ka Badla,2005,,Horror,7.8,25.0,Raj Mohan,Ponnambalam,,,True
Chudail Ki Raat,2000,,Horror,,,Dinesh Thakkar,Brij Gopal,Rashid Khan,Surendra Pal,True
Chudail No. 1,1999,,Horror,,,Ishrat Ali,Dinesh Hingoo,Kaizar Khan,Razak Khan,True
Chudail Story,2016,100.0,"Horror, Thriller",2.4,142.0,Surya Lakkoju,Preeti Soni,Amal Sherawat,Nidhi Bhardwaj,False
Chudail: The Witch,1998,,Horror,,,P. Chandrakumar,Rita Bhaduri,Poonam Dasgupta,Anil Dhawan,True
Chudiyan,1942,,,,,L.J. Bhatt,K.J. Parmar,Prem Adib,Gulab,True
Chunaoti,1980,,"Action, Thriller",5.3,31.0,Satpal,Feroz Khan,Neetu Singh,Dharmendra,True
Chunar ABCD 2 Cover by Vivek Verma,2015,,Music,,,Rahul Singh Rathod,Vivek Verma,,,True
Chunaria,1948,,Drama,,,Ravindra Dave,Manorama,Wasti,Randhir,True
Chup Chup Ke,2006,164.0,"Comedy, Drama, Romance",6.8,9171.0,Priyadarshan,Kookie Gulati,Shahid Kapoor,Kareena Kapoor,False
Chupke Chupke,1975,146.0,"Comedy, Drama, Romance",8.3,11923.0,Hrishikesh Mukherjee,Dharmendra,Sharmila Tagore,Amitabh Bachchan,False
Chupke Se,2003,164.0,"Comedy, Musical, Romance",5.4,112.0,Shona Urvashi,Zulfi Sayed,Masumeh Makhija,Rati Agnihotri,False
Chupp,1997,,"Crime, Mystery, Thriller",4.3,17.0,Ambrish Sangal,Jeetendra,Avinash Wadhawan,Somy Ali,True
Chura Liya Hai Tumne Jo Dil Ko,2000,,Romance,,,Mimicry Dayanand,Bank Janardhan,Tennis Krishna,Malavikka,True
Chura Liyaa Hai Tumne,2003,143.0,"Action, Drama, Mystery",3.7,463.0,Sangeeth Sivan,Zayed Khan,Esha Deol,Gulshan Grover,False
CID Agent 302,1968,150.0,Action,,,S. Azim,Azaad Irani,Indira,Mohan Sherry,False
Cinderella,2015,113.0,Fantasy,6.7,9.0,Kiran Nakti,Mangesh Desai,Vinit Bonde,Janardhan Parab,False
Cinema,1946,,Musical,,,Kidar Nath Sharma,,,,True
Cinema Cinema,1979,,Documentary,6.6,33.0,Krishna Shah,Amitabh Bachchan,Zeenat Aman,Dharmendra,True
Cinema Queen,1934,,,,,Rajendra Raj Gaur,Alaknanda,,,True
Cinemaa Zindabad,2020,,Drama,,,Ajay Yadav,,,,True
Circus Girl,1943,,Drama,,,Ramanlal Desai,Mirajkar,Baburao Pahelwan,Vasantrao,True
Circus Ki Sundari,1941,,,,,Balwant Bhatt,,,,True
Circus ki Sundari,1959,,"Action, Crime, Drama",,,Noshir Engineer,Fearless Nadia,John Cawas,Sheila Kashmiri,True
Circus King,1946,,,,,B.R. Mudnaney,Brij Rani,Baburao Pahelwan,Varalaxmi,True
Circus Queen,1959,,Action,4.8,5.0,Noshir Engineer,Fearless Nadia,John Cawas,Sheila Kashmiri,True
Circus Sundari,1958,,,,,Chandrakant,C.M. Trivedi,Kamal Kapoor,Kamini Kaushal,True
Circuswale,1950,,,,,Balwant Bhatt,John Cawas,Sona Chatterjee,Dalpat,True
Cirkus,2022,112.0,Comedy,,,Rohit Shetty,Jacqueline Fernandez,Pooja Hegde,Ranveer Singh,False
Cities of Sleep,2015,77.0,Documentary,,,Shaunak Sen,,,,False
City Girl' S Hostel,2002,,Drama,,,Ramesh Goyal,Raza Murad,Anil Nagrath,Ranjeet,True
City Lights,2014,126.0,"Drama, Thriller",7.4,4828.0,Hansal Mehta,Rajkummar Rao,Patralekhaa Paul,Manav Kaul,False
City of Dark,2016,85.0,Drama,,,Spandan Banerjee,Rupleena Bose,Sabyasachi Chakrabarty,Danish Husain,False
City of Dreams,2014,105.0,Drama,,,Mahesh D. Singh,Kiran Janjani,Rushad Rana,Piyush Gupta,False
City of Gold - Mumbai 1982: Ek Ankahee Kahani,2010,145.0,"Crime, Drama",6.8,355.0,Mahesh Manjrekar,Sachin Khedekar,Seema Biswas,Ankush Chaudhari,False
City Police,1993,,Action,,,R. Thyagaraajan,Lakshmi,Suma Anand Ras,Vijayakanth,True
Class of '83,2020,98.0,"Action, Crime, Drama",5.8,5084.0,Atul Sabharwal,Bobby Deol,Anup Soni,Joy Sengupta,False
Classic Dance Forms of India: Koodiattam,1986,,Documentary,,,Prakash Jha,,,,True
Classic Dance of Love,2005,,Drama,4.7,53.0,Babbar Subhash,Mithun Chakraborty,Meghna Naidu,Vikas Bhardwaj,True
Classic Incantations,2012,,Musical,,,Deepak Gattani,,,,True
Clerk,1989,165.0,"Action, Crime, Drama",2.3,126.0,Manoj Kumar,Manoj Kumar,Ashok Kumar,Rajendra Kumar,False
Click,2010,127.0,"Drama, Horror, Mystery",3.5,317.0,Sangeeth Sivan,Shreyas Talpade,Sada,Sneha Ullal,False
Climax,2020,52.0,"Action, Horror, Thriller",2.0,228.0,Ram Gopal Varma,Mia Malkova,Renan Severo,,False
Club 60,2013,137.0,Drama,7.3,433.0,Sanjay Tripathy,Farooq Shaikh,Sarika,Raghuvir Yadav,False
Club Dancer,2016,125.0,"Action, Musical, Thriller",6.9,17.0,B. Prasad,Rajbeer Singh,Nish,Ajaz Khan,False
Club Dancer No.1 Gulabi Raatein,2000,60.0,Musical,,,S.U. Syed,Manish,Raashee,Harshita,False
Coal India,2015,48.0,Documentary,8.0,6.0,Ajay Koli,Felix Roeben,,,False
Coat,2021,,"Drama, Family",,,Akshay Ditti,Sanjay Mishra,Sonal Jha,Vivaan Shah,True
Cobra,1980,,Action,,,Batra Mohinder,Ardhendu Bose,Nikii Waalia,Ajit,True
Cobra Girl,1963,,"Action, Drama, Fantasy",5.4,10.0,Nanabhai Bhatt,Ragini,Mahipal,Tiwari,True
Cocktail,2012,146.0,"Comedy, Drama, Romance",6.3,13486.0,Homi Adajania,Saif Ali Khan,Deepika Padukone,Diana Penty,False
Cocktail: The Deadly Combination,2007,,"Drama, Thriller",,,Maninder Bhandari,Vijay Bhatotiya,Samarth Chaturvedi,Preeti Jain,True
Code Blue,2019,,Drama,6.9,7.0,Khan Aleena,Vishal Anand,Rishi Bhutani,Canelle Hoppe,True
Coffee Bloom,2015,90.0,Drama,5.9,101.0,Manu Warrier,Arjun Mathur,Sugandha Garg,Ishwari Bose-Bhattacharya,False
Coffee House,1957,,Drama,,,Geeta Bali,Helen,Jeevan,Shammi Kapoor,True
Coffee House,2009,,Drama,6.4,8.0,Gurbir Singh Grewal,Ashutosh Rana,Sakshi Tanwar,Neha Mishra,True
College Campus,2011,121.0,Drama,,,Atul Srivastava,Ramnita Chaudhry,Mohan Joshi,Ashraf Khan,False
College Fukrey,2019,136.0,Romance,,,Munish Sharma,Karan Kundra,,,False
College Girl,1960,,"Drama, Romance",6.4,26.0,T. Prakash Rao,Shammi Kapoor,Om Prakash,Raj Mehra,True
College Girl,1978,,Romance,6.2,9.0,S.D. Narang,Bindiya Goswami,Rita Bhaduri,Master Bhagwan,True
College Girl,1990,,Romance,,,Surendra Gupta,Veerendra Singh,Amita Nangia,Pankaj Berry,True
College Kanya,1935,,Drama,,,Jayant Desai,Madhuri,Raja Sandow P.K.,Ghori,True
College ke Din Char,2019,127.0,Drama,,,Keval Shah,Mukesh Shah,Dimple Ahire,Jay Deshmukh,False
College Story,2001,100.0,Horror,,,Madusree,Shobha Raj,,,False
Collegian,1944,,,,,Balwant Bhatt,,,,True
Colour photo,2018,,Comedy,8.7,21.0,Aziz Naser,Gullu Dada,Shahbaz Khan,Aziz Naser,True
Colours of Passion,2008,132.0,"Biography, Drama, Romance",7.0,1827.0,Ketan Mehta,Randeep Hooda,Nandana Sen,Paresh Rawal,False
Come December,2006,92.0,Drama,5.6,58.0,Faisal Saif,Arun Bakshi,Hayley Cleghorn,Bobby Darling,False
Come on Yaar,2021,122.0,Drama,,,Rajeshwar Pandey Raaj,Tanzeem Alam,Amlesh Jaiswal,Manoj Jaiswal,False
Comedy Couple,2020,117.0,"Comedy, Romance",7.7,1662.0,Nachiket Samant,Saqib Saleem,Shweta Basu Prasad,Pooja Bedi,False
Commander,1981,,Action,5.1,19.0,Rakesh Kumar,Amjad Khan,Tanuja,Arun Govil,True
Commander,1959,,,,,Kedar Kapoor,Helen,Kamal Kapoor,Kumkum,True
Commando,1988,149.0,"Action, Drama, Romance",4.2,171.0,Babbar Subhash,Mithun Chakraborty,Mandakini,Hemant Birje,False
Commando,2013,124.0,"Action, Adventure, Thriller",6.2,4757.0,Dilip Ghosh,Vidyut Jammwal,Hsieh Chang Hai,Nelson Liao Sheng Hua,False
Commando 2,2017,144.0,"Action, Adventure, Thriller",5.3,3015.0,Deven Bhojani,Vidyut Jammwal,Adah Sharma,Esha Gupta,False
Commando 3,2019,133.0,"Action, Adventure, Thriller",5.7,2425.0,Aditya Datt,Vidyut Jammwal,Adah Sharma,Gulshan Devaiah,False
Commando the Force,2004,,Action,,,Sneha,Srikanth,,,True
Commercial Pilot Officer,1963,,Action,,,O.P. Dutta,Sohan Kapila,Shashikala,Shyama,True
Company,2002,142.0,"Action, Crime, Drama",7.9,14795.0,Ram Gopal Varma,Ajay Devgn,Mohanlal,Manisha Koirala,False
Compromise,2018,,Drama,,,Suresh Chauhan,Rock Mahi,,,True
Compulsed,1974,155.0,"Drama, Mystery, Thriller",7.1,668.0,Ravi Tandon,Amitabh Bachchan,Parveen Babi,Pran,False
Comrade,2019,52.0,"Drama, Thriller",,,Deepak Sharma,Mohd Ashique Hussain,Veen,Singh Bhupesh,False
Confused @16,2015,115.0,Drama,,,Honey Romey,Gaurav Bajaj,Manoj Bidwai,Siddharth,False
Congregation,1986,140.0,Drama,6.5,15.0,Muzaffar Ali,Shabana Azmi,Farooq Shaikh,Rohini Hattangadi,False
Connecting the Dots,2018,60.0,Documentary,,,Piyush Pande,,,,False
Consequence Karma,2021,92.0,"Drama, Thriller",9.0,223.0,Shadab Ahmad,Sidharth Bhardwaj,Monis Khan,Pooja Gupta,False
Contact Killer,2020,112.0,Thriller,,,C.L. Prasad,Zoya Afroz,Anju Asrani,Haas,False
Contract,2008,117.0,"Action, Crime, Drama",4.0,230.0,Ram Gopal Varma,Adhvik Mahajan,Sakshi Gulati,Amruta Khanvilkar,False
Cookie,2020,104.0,Horror,6.2,191.0,Lalit Marathe,Nabeel Ahmed,Amit Ashar,Bhavin Bhanushali,False
Cooking with Stella,2009,104.0,"Comedy, Drama",5.4,282.0,Dilip Mehta,Seema Biswas,Don McKellar,Lisa Ray,False
Coolie,1983,177.0,"Action, Comedy, Drama",6.6,2123.0,Manmohan Desai,Prayag Raj,Amitabh Bachchan,Waheeda Rehman,False
Coolie No. 1,1995,143.0,"Action, Comedy, Romance",6.6,4843.0,David Dhawan,Govinda,Karisma Kapoor,Harish,False
Coolie No. 1,1991,146.0,"Action, Drama, Romance",6.7,678.0,K. Raghavendra Rao,Venkatesh Daggubati,Tabu,Babu Mohan,False
Coolie No. 1,2020,134.0,"Action, Comedy, Romance",2.9,56232.0,David Dhawan,Varun Dhawan,Sara Ali Khan,Paresh Rawal,False
Corporate,2006,142.0,Drama,6.5,1957.0,Madhur Bhandarkar,Bipasha Basu,Kay Kay Menon,Raj Babbar,False
Cottage No. 212,2017,145.0,Horror,,,Kurne Tahirhusen,,,,False
Country Girl,1936,,,,,Dhirendranath Ganguly,,,,True
Courage,1992,161.0,"Action, Drama, Romance",4.8,787.0,Farogh Siddique,Ajay Devgn,Karisma Kapoor,Ajit,False
Court,2014,116.0,Drama,7.7,4338.0,Chaitanya Tamhane,Vira Sathidar,Vivek Gomber,Geetanjali Kulkarni,False
Court Martial,2020,120.0,Drama,6.8,179.0,Sourabh Shrivastava,Karwarkar Bhavika,Saksham Dayma,Rajeev Khandelwal,False
Cover Story,2000,140.0,Thriller,5.3,105.0,G.S. Vijayan,Suresh Gopi,Joemon Joshy,Biju Menon,False
Cover Story: The Ultimate Interview,2012,,Thriller,,,Laurens C. Postma,Anjum Nayar,Jackie Shroff,Yuri Suri,True
