Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Duration_missing
2 Piece,2005,,Drama,,,Kishan Shah,Ramesh Goyal,Satnam Kaur,Anil Nagrath,True
2 States,2014,149.0,"Comedy, Drama, Romance",6.9,24034.0,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,False
2.0,2018,148.0,"Action, Sci-Fi",6.2,21938.0,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,False
2001: Do Hazaar Ek,1998,149.0,"Crime, Mystery, Thriller",3.5,112.0,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu,False
2006 Varanasi: The Untold,2018,,Drama,,,Aryeman Ramsay,Mukul Dev,Rahul Dev,Ravi Kishan,True
2007 the last encounter,2018,,Drama,,,Partha Sarkar,Bidita Bag,Sameer Dharmadhikari,Jatin Goswami,True
2016 the End,2017,130.0,Comedy,6.1,94.0,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda,False
22 Days,2018,124.0,Thriller,6.1,8.0,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh,False
22 June 1897,1979,121.0,"Drama, History",7.7,52.0,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit,False
22 Yards,2019,126.0,Sport,6.1,361.0,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor,False
23rd March 1931: Shaheed,2002,188.0,"Biography, Drama, History",5.1,642.0,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,False
24 Ghante,1998,,Thriller,,,Tinnu Anand,Bharat Kapoor,Goga Kapoor,Amrit Pal,True
25th July,1951,,,7.6,5.0,Chitra Mitra,,,,True
26 January,1956,,,6.6,7.0,Ramesh Saigal,Ajit,,,True
26th January,1956,,Drama,,,Ramesh Saigal,Ajit,Nalini Jaywant,Leela Mishra,True
26th July at Barista,2008,,Drama,3.1,32.0,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla,True
27 Down,1974,115.0,Drama,6.9,194.0,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher,False
3 AM: A Paranormal Experience,2014,103.0,"Horror, Romance",5.0,514.0,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier,False
3 Bachelors,2012,114.0,"Comedy, Romance",3.3,165.0,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,False
3 Days 4 Nights in Bihar,2020,,Comedy,,,Abhishek Dogra,Jackky Bhagnani,Sharman Joshi,Ruslaan Mumtaz,True
3 Deewarein,2003,115.0,"Crime, Drama",7.8,2322.0,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla,False
3 Dev,2019,122.0,Comedy,6.9,35.0,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur,False
3 Idiots,2009,170.0,"Comedy, Drama",8.4,357889.0,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,False
3 Nights 4 Days,2009,,"Drama, Romance",5.2,23.0,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani,True
3 Shyaane,2020,,Comedy,,,Anees Barudwale,Asrani,Rakesh Bedi,Priyanshu Chatterjee,True
3 Storeys,2018,100.0,Drama,6.9,358.0,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha,False
3.0 Megapixel,2015,99.0,"Adventure, Drama",4.3,6.0,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar,False
30 Days,2004,,Horror,5.0,14.0,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo,True
30 Minutes,2016,,Thriller,4.8,26.0,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar,True
31st October,2015,109.0,"Action, Drama, History",5.8,238.0,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,False
340,2009,,Thriller,4.6,9.0,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa,True
36 China Town,2006,140.0,"Comedy, Mystery, Thriller",5.7,4373.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,False
36 Chowringhee Lane,1981,122.0,"Drama, Romance",7.5,392.0,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy,False
36 Ghante,1974,,"Action, Crime, Drama",6.7,128.0,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt,True
376 D,2020,128.0,"Crime, Thriller",5.7,252.0,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi,False
377 AbNormal,2019,93.0,Drama,5.6,93.0,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub,False
3D Saamri,1985,102.0,Horror,5.6,80.0,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta,False
3G: A Killer Connection,2013,125.0,"Horror, Sci-Fi, Thriller",3.6,1128.0,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan,False
3rd EYE,2019,145.0,Horror,6.3,6.0,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi,False
3rd November,2016,,Horror,,,Vasant Narkar,Minakshi Bhagat,Pragya Chahar,Kabir Khan,True
404: Error Not Found,2011,121.0,"Drama, Mystery, Thriller",7.3,2548.0,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat,False
417 Miles,2016,75.0,Drama,4.8,9.0,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob,False
42 Kms.,2009,,"Drama, Sport",3.9,14.0,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani,True
498A-The Wedding Gift,2012,113.0,"Drama, Family, Musical",7.8,21.0,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik,False
4pm on the Court,2011,115.0,Sport,,,Shine Krishna,Ashish Bhatia,Naveen Kaushik,Vinay Sharma,False
5 Ghantey Mien 5 Crore,2012,111.0,Thriller,5.7,75.0,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan,False
5 Rifles,1974,134.0,"Action, Comedy",6.5,36.0,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar,False
5 Rifles,2001,,Action,,,Hemant Birje,Anu Kashyap,Raza Murad,Paintal,True
5 Rupees,2018,,,,,Piyush Panjuani,Shabana Azmi,Yohaan Panjuani,,True
50 Lakh,2007,,"Comedy, Thriller",6.5,82.0,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan,True
500 Ka Note,2002,,Thriller,,,Tinnu Anand,Birbal,Chandrashekhar,Siddharth Dhawan,True
5ters: Castle of Dark Master,2011,110.0,"Action, Adventure, Fantasy",4.6,19.0,G. Venugopal,Akash,Avinash,Gagan,False
6.40 PM,1967,,,5.4,5.0,Mani Kaul,,,,True
6387 Meters Black Peak,2020,85.0,Documentary,,,Kovid Mittal,Kovid Mittal,,,False
64 Kaam Kalayen,2002,,Thriller,,,Hemant Birje,Ankush Mohite,Kirti Rawal,,True
6-5=2,2014,104.0,Horror,4.2,171.0,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari,False
68 Pages,2007,92.0,Drama,6.2,31.0,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia,False
69 Opposites Attract,2011,96.0,Comedy,,,Amit r Agarwal,Amit r Agarwal,Kiran Kaur,,False
7 1/2 Phere: More Than a Wedding,2005,136.0,"Comedy, Drama",5.3,281.0,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa,False
7 Bijliyaan,1988,126.0,Action,5.0,7.0,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan,False
7 Days,1995,,"Action, Drama",3.4,10.0,Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill,True
7 Hours to Go,2016,115.0,"Crime, Thriller",5.7,398.0,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt,False
7 Islands and a Metro,2006,100.0,Documentary,6.2,10.0,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash,False
7 Khoon Maaf,2011,137.0,"Drama, Mystery, Thriller",6.1,5640.0,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh,False
7 Saal Baad,1987,127.0,"Drama, Horror, Musical",4.1,34.0,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol,False
706,2019,120.0,Thriller,5.3,449.0,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta,False
72 Hours: Martyr Who Never Died,2019,130.0,"Action, Biography, Drama",5.3,249.0,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin,False
7th Villa,2018,125.0,Horror,,,Ajay Arak,Meenal Chauhan,Mansi Sharma,Vinit,False
8 PM: A Murder Mystery,2008,,Mystery,,,Sunil Bhojwani,Krishna Abhishek,Ramesh Bachwani,Dravika,True
8 x 10 Tasveer,2009,122.0,"Action, Fantasy, Mystery",5.4,5459.0,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,False
8119 Miles,2021,115.0,"Adventure, Drama, Mystery",6.6,21.0,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert,False
'83,2021,150.0,"Biography, Drama, History",,,Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin,False
88 Antop Hill,2003,119.0,"Mystery, Thriller",4.7,66.0,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai,False
9 O' Clock,2017,124.0,Action,5.3,9.0,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat,False
9 to 12,2011,115.0,"Drama, Musical, Thriller",,,Ashok Patil,Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G.,False
